DOF 0: (-0.0266913,-0.00011804) (Magnitude: 0.0266915)
DOF 1: (9.60931e-07,-4.46163e-06) (Magnitude: 4.56393e-06)
DOF 2: (3.46197e-06,9.3853e-06) (Magnitude: 1.00035e-05)
DOF 3: (-1.67704e-09,6.19028e-09) (Magnitude: 6.41343e-09)
DOF 4: (-0.024083,-0.0171414) (Magnitude: 0.0295604)
DOF 5: (0.00431473,0.0101674) (Magnitude: 0.011045)
DOF 6: (0.000773053,0.000643879) (Magnitude: 0.00100608)
DOF 7: (1.27949e-06,-7.82399e-06) (Magnitude: 7.92792e-06)
DOF 8: (-8.51771e-13,6.77088e-13) (Magnitude: 1.0881e-12)
DOF 9: (-1.16457e-09,3.16949e-09) (Magnitude: 3.37667e-09)
DOF 10: (-0.0247114,-0.0200589) (Magnitude: 0.0318279)
DOF 11: (-0.00208275,-0.0107384) (Magnitude: 0.0109385)
DOF 12: (0.000772467,0.000644414) (Magnitude: 0.00100597)
DOF 13: (-1.3579e-06,2.01148e-06) (Magnitude: 2.42692e-06)
DOF 14: (-3.46197e-06,-9.3853e-06) (Magnitude: 1.00035e-05)
DOF 15: (-6.52084e-10,1.48691e-10) (Magnitude: 6.68822e-10)
DOF 16: (-0.024083,-0.0171414) (Magnitude: 0.0295604)
DOF 17: (-0.00235579,-0.0102883) (Magnitude: 0.0105546)
DOF 18: (0.000772717,0.000645224) (Magnitude: 0.00100668)
DOF 19: (-1.54287e-06,5.05257e-06) (Magnitude: 5.28289e-06)
DOF 20: (3.40009e-06,9.70169e-06) (Magnitude: 1.02802e-05)
DOF 21: (-1.16457e-09,3.16949e-09) (Magnitude: 3.37667e-09)
DOF 22: (-0.0249196,-0.019723) (Magnitude: 0.0317803)
DOF 23: (-0.19035,-0.140635) (Magnitude: 0.236667)
DOF 24: (0.000783171,0.000675935) (Magnitude: 0.00103453)
DOF 25: (2.74678e-05,7.55434e-05) (Magnitude: 8.03821e-05)
DOF 26: (2.38101e-21,2.7126e-21) (Magnitude: 3.60935e-21)
DOF 27: (-1.16458e-09,3.1695e-09) (Magnitude: 3.37668e-09)
DOF 28: (-0.0247158,-0.0200549) (Magnitude: 0.0318287)
DOF 29: (0.0065144,0.0193597) (Magnitude: 0.0204264)
DOF 30: (0.000772717,0.000645224) (Magnitude: 0.00100668)
DOF 31: (1.1459e-06,-7.50271e-06) (Magnitude: 7.58972e-06)
DOF 32: (-3.40009e-06,-9.70169e-06) (Magnitude: 1.02802e-05)
DOF 33: (-1.16457e-09,3.16949e-09) (Magnitude: 3.37667e-09)
DOF 34: (-0.0249196,-0.019723) (Magnitude: 0.0317803)
DOF 35: (0.00725106,0.0169433) (Magnitude: 0.0184297)
DOF 36: (0.000742816,0.000581614) (Magnitude: 0.000943424)
DOF 37: (-1.74104e-07,5.91635e-07) (Magnitude: 6.1672e-07)
DOF 38: (3.46197e-06,9.3853e-06) (Magnitude: 1.00035e-05)
DOF 39: (-6.52084e-10,1.48691e-10) (Magnitude: 6.68822e-10)
DOF 40: (-0.024083,-0.0171414) (Magnitude: 0.0295604)
DOF 41: (0.00956446,0.0253007) (Magnitude: 0.0270482)
DOF 42: (0.000770365,0.000656435) (Magnitude: 0.00101211)
DOF 43: (1.27949e-06,-7.82399e-06) (Magnitude: 7.92792e-06)
DOF 44: (8.51771e-13,-6.77088e-13) (Magnitude: 1.0881e-12)
DOF 45: (-1.16457e-09,3.16949e-09) (Magnitude: 3.37667e-09)
DOF 46: (-0.0247114,-0.0200589) (Magnitude: 0.0318279)
DOF 47: (0.00301647,0.00493128) (Magnitude: 0.00578071)
DOF 48: (0.000770951,0.0006559) (Magnitude: 0.00101221)
DOF 49: (-2.22864e-07,-3.04178e-06) (Magnitude: 3.04993e-06)
DOF 50: (-3.46197e-06,-9.3853e-06) (Magnitude: 1.00035e-05)
DOF 51: (-1.67704e-09,6.19028e-09) (Magnitude: 6.41343e-09)
DOF 52: (-0.024083,-0.0171414) (Magnitude: 0.0295604)
DOF 53: (0.00289394,0.00484497) (Magnitude: 0.00564346)
DOF 54: (0.00039354,-2.95946e-05) (Magnitude: 0.000394651)
DOF 55: (-7.21247e-07,-2.18032e-06) (Magnitude: 2.29651e-06)
DOF 56: (-3.47259e-05,-5.27351e-05) (Magnitude: 6.31417e-05)
DOF 57: (-1.565e-09,7.22383e-10) (Magnitude: 1.72368e-09)
DOF 58: (0.177664,0.0819952) (Magnitude: 0.195673)
DOF 59: (-0.00285795,-0.00147366) (Magnitude: 0.00321551)
DOF 60: (0.000404867,-2.37445e-05) (Magnitude: 0.000405563)
DOF 61: (-1.88513e-07,-1.25821e-06) (Magnitude: 1.27225e-06)
DOF 62: (-3.84439e-12,5.58425e-12) (Magnitude: 6.77962e-12)
DOF 63: (-1.18532e-09,2.10035e-08) (Magnitude: 2.10369e-08)
DOF 64: (0.177169,0.0826362) (Magnitude: 0.195494)
DOF 65: (-0.00298137,-0.00176518) (Magnitude: 0.00346474)
DOF 66: (0.000393546,-2.95984e-05) (Magnitude: 0.000394657)
DOF 67: (3.24183e-07,-2.69704e-07) (Magnitude: 4.21705e-07)
DOF 68: (3.47259e-05,5.27351e-05) (Magnitude: 6.31417e-05)
DOF 69: (-8.05579e-10,4.12845e-08) (Magnitude: 4.12924e-08)
DOF 70: (0.177664,0.0819952) (Magnitude: 0.195673)
DOF 71: (-0.00286558,-0.00145494) (Magnitude: 0.00321379)
DOF 72: (0.000403789,-2.55193e-05) (Magnitude: 0.000404595)
DOF 73: (-1.83242e-07,-1.26206e-06) (Magnitude: 1.2753e-06)
DOF 74: (-3.40449e-05,-5.8932e-05) (Magnitude: 6.80591e-05)
DOF 75: (-1.18532e-09,2.10035e-08) (Magnitude: 2.10369e-08)
DOF 76: (0.177664,0.0819952) (Magnitude: 0.195673)
DOF 77: (4.72875e-06,-9.81518e-06) (Magnitude: 1.08949e-05)
DOF 78: (0.000403825,-2.57254e-05) (Magnitude: 0.000404644)
DOF 79: (-1.89168e-07,-1.25827e-06) (Magnitude: 1.27241e-06)
DOF 80: (-4.10449e-20,-4.3023e-20) (Magnitude: 5.94615e-20)
DOF 81: (-1.18532e-09,2.10035e-08) (Magnitude: 2.10369e-08)
DOF 82: (0.185436,0.100078) (Magnitude: 0.210718)
DOF 83: (-4.15177e-19,-2.15787e-20) (Magnitude: 4.15738e-19)
DOF 84: (0.000403789,-2.55193e-05) (Magnitude: 0.000404595)
DOF 85: (-1.83242e-07,-1.26206e-06) (Magnitude: 1.2753e-06)
DOF 86: (3.40449e-05,5.8932e-05) (Magnitude: 6.80591e-05)
DOF 87: (-1.18532e-09,2.10035e-08) (Magnitude: 2.10369e-08)
DOF 88: (0.177664,0.0819952) (Magnitude: 0.195673)
DOF 89: (-4.72875e-06,9.81518e-06) (Magnitude: 1.08949e-05)
DOF 90: (0.000393546,-2.95984e-05) (Magnitude: 0.000394657)
DOF 91: (3.24183e-07,-2.69704e-07) (Magnitude: 4.21705e-07)
DOF 92: (-3.47259e-05,-5.27351e-05) (Magnitude: 6.31417e-05)
DOF 93: (-8.05579e-10,4.12845e-08) (Magnitude: 4.12924e-08)
DOF 94: (0.177664,0.0819952) (Magnitude: 0.195673)
DOF 95: (0.00286558,0.00145494) (Magnitude: 0.00321379)
DOF 96: (0.000404867,-2.37445e-05) (Magnitude: 0.000405563)
DOF 97: (-1.88513e-07,-1.25821e-06) (Magnitude: 1.27225e-06)
DOF 98: (3.84439e-12,-5.58425e-12) (Magnitude: 6.77962e-12)
DOF 99: (-1.18532e-09,2.10035e-08) (Magnitude: 2.10369e-08)
DOF 100: (0.177169,0.0826362) (Magnitude: 0.195494)
DOF 101: (0.00298137,0.00176518) (Magnitude: 0.00346474)
DOF 102: (0.00039354,-2.95946e-05) (Magnitude: 0.000394651)
DOF 103: (-7.21247e-07,-2.18032e-06) (Magnitude: 2.29651e-06)
DOF 104: (3.47259e-05,5.27351e-05) (Magnitude: 6.31417e-05)
DOF 105: (-1.565e-09,7.22383e-10) (Magnitude: 1.72368e-09)
DOF 106: (0.177664,0.0819952) (Magnitude: 0.195673)
DOF 107: (0.00285795,0.00147366) (Magnitude: 0.00321551)
DOF 108: (0.000146598,-0.000274344) (Magnitude: 0.000311056)
DOF 109: (-9.96761e-07,-1.23422e-06) (Magnitude: 1.58646e-06)
DOF 110: (1.02481e-05,3.45751e-05) (Magnitude: 3.60619e-05)
DOF 111: (-1.38826e-09,7.57577e-09) (Magnitude: 7.70192e-09)
DOF 112: (-0.0826049,-0.0673221) (Magnitude: 0.106564)
DOF 113: (-0.00210978,0.00126708) (Magnitude: 0.00246103)
DOF 114: (0.000146601,-0.000274346) (Magnitude: 0.000311058)
DOF 115: (-2.03445e-07,-1.22118e-06) (Magnitude: 1.23801e-06)
DOF 116: (8.52096e-13,-6.7725e-13) (Magnitude: 1.08846e-12)
DOF 117: (1.16517e-09,-3.17045e-09) (Magnitude: 3.37777e-09)
DOF 118: (-0.0841799,-0.0779647) (Magnitude: 0.114738)
DOF 119: (-0.00219908,0.00127073) (Magnitude: 0.00253983)
DOF 120: (0.000146603,-0.000274348) (Magnitude: 0.000311061)
DOF 121: (5.9966e-07,-1.21572e-06) (Magnitude: 1.35557e-06)
DOF 122: (-1.02481e-05,-3.45751e-05) (Magnitude: 3.60619e-05)
DOF 123: (3.71859e-09,-1.39167e-08) (Magnitude: 1.44049e-08)
DOF 124: (-0.0826049,-0.0673221) (Magnitude: 0.106564)
DOF 125: (-0.00211702,0.0012854) (Magnitude: 0.00247669)
DOF 126: (0.000145049,-0.000274334) (Magnitude: 0.000310319)
DOF 127: (-1.9855e-07,-1.22497e-06) (Magnitude: 1.24096e-06)
DOF 128: (9.95113e-06,3.56987e-05) (Magnitude: 3.70597e-05)
DOF 129: (1.16517e-09,-3.17045e-09) (Magnitude: 3.37777e-09)
DOF 130: (-0.0850079,-0.0768054) (Magnitude: 0.114566)
DOF 131: (3.90264e-06,-9.35085e-06) (Magnitude: 1.01326e-05)
DOF 132: (0.000153639,-0.000279453) (Magnitude: 0.000318903)
DOF 133: (-1.88576e-07,-1.2582e-06) (Magnitude: 1.27226e-06)
DOF 134: (4.80584e-21,-2.00823e-20) (Magnitude: 2.06493e-20)
DOF 135: (1.16518e-09,-3.17045e-09) (Magnitude: 3.37778e-09)
DOF 136: (-0.0841966,-0.0779514) (Magnitude: 0.114741)
DOF 137: (-8.37474e-19,-1.22725e-19) (Magnitude: 8.46419e-19)
DOF 138: (0.000145049,-0.000274334) (Magnitude: 0.000310319)
DOF 139: (-1.9855e-07,-1.22497e-06) (Magnitude: 1.24096e-06)
DOF 140: (-9.95113e-06,-3.56987e-05) (Magnitude: 3.70597e-05)
DOF 141: (1.16517e-09,-3.17045e-09) (Magnitude: 3.37777e-09)
DOF 142: (-0.0850079,-0.0768054) (Magnitude: 0.114566)
DOF 143: (-3.90264e-06,9.35085e-06) (Magnitude: 1.01326e-05)
DOF 144: (0.000146603,-0.000274348) (Magnitude: 0.000311061)
DOF 145: (5.9966e-07,-1.21572e-06) (Magnitude: 1.35557e-06)
DOF 146: (1.02481e-05,3.45751e-05) (Magnitude: 3.60619e-05)
DOF 147: (3.71859e-09,-1.39167e-08) (Magnitude: 1.44049e-08)
DOF 148: (-0.0826049,-0.0673221) (Magnitude: 0.106564)
DOF 149: (0.00211702,-0.0012854) (Magnitude: 0.00247669)
DOF 150: (0.000146601,-0.000274346) (Magnitude: 0.000311058)
DOF 151: (-2.03445e-07,-1.22118e-06) (Magnitude: 1.23801e-06)
DOF 152: (-8.52096e-13,6.7725e-13) (Magnitude: 1.08846e-12)
DOF 153: (1.16517e-09,-3.17045e-09) (Magnitude: 3.37777e-09)
DOF 154: (-0.0841799,-0.0779647) (Magnitude: 0.114738)
DOF 155: (0.00219908,-0.00127073) (Magnitude: 0.00253983)
DOF 156: (0.000146598,-0.000274344) (Magnitude: 0.000311056)
DOF 157: (-9.96761e-07,-1.23422e-06) (Magnitude: 1.58646e-06)
DOF 158: (-1.02481e-05,-3.45751e-05) (Magnitude: 3.60619e-05)
DOF 159: (-1.38826e-09,7.57577e-09) (Magnitude: 7.70192e-09)
DOF 160: (-0.0826049,-0.0673221) (Magnitude: 0.106564)
DOF 161: (0.00210978,-0.00126708) (Magnitude: 0.00246103)
